,index,left,right,total,left_per,right_per,total_per,corpus_collosum_ventricles,CCV_per
0,lateralorbitofrontal_volume,5002.0,5637.0,10639.0,0.13693830921553696,0.40547691493583804,0.2806570376663835,,
1,medialorbitofrontal_volume,4050.0,3283.0,7333.0,0.18116116598410015,0.0896041757285777,0.13304377643159215,,
2,paracentral_volume,2691.0,2407.0,5098.0,0.24762574744987687,0.24054591981802675,0.24371069182389937,,
3,parsopercularis_volume,2793.0,2627.0,5420.0,0.08748264233287051,0.29124785486638877,0.1786184210526316,,
4,parsorbitalis_volume,1774.0,1802.0,3576.0,0.26119402985074625,0.39871677360219976,0.3442865054458187,,
5,parstriangularis_volume,1989.0,2978.0,4967.0,0.0460379464285714,0.34064748201438855,0.22517497812773407,,
6,precentral_volume,10422.0,9210.0,19632.0,0.43899771303569646,0.4145189301840917,0.4245869458531,,
7,caudalmiddlefrontal_volume,4702.0,4378.0,9080.0,0.38011590003621876,0.4212634026611549,0.4041317952197844,,
8,rostralmiddlefrontal_volume,10020.0,11651.0,21671.0,0.1269632688817971,0.42861259184555534,0.29763069231605255,,
9,superiorfrontal_volume,16043.0,16184.0,32227.0,0.16309070249314894,0.4418801694573331,0.3369395662456599,,
10,frontalpole_volume,834.0,837.0,1671.0,0.3659476117103236,0.34305049453409686,0.3522833178005591,,
11,cuneus_volume,1691.0,3000.0,4691.0,0.16357723577235772,0.479928861788618,0.3411781486235914,,
12,lateraloccipital_volume,8627.0,8098.0,16725.0,0.25907523828837964,0.3277464788732394,0.2996010306707672,,
13,lingual_volume,4330.0,5080.0,9410.0,0.2104948422783674,0.28880978176752825,0.2489733840304183,,
14,pericalcarine_volume,983.0,1602.0,2585.0,0.03205726735138503,0.20243531202435316,0.10871426125663414,,
15,caudalanteriorcingulate_volume,1284.0,1125.0,2409.0,0.40203665987780035,0.22085696282293635,0.29987564398649846,,
16,isthmuscingulate_volume,1266.0,1451.0,2717.0,0.33495293045854846,0.3932092004381161,0.3655867530597552,,
17,posteriorcingulate_volume,1824.0,2028.0,3852.0,0.32255434782608694,0.42660679202918894,0.37374016291591877,,
18,rostralanteriorcingulate_volume,1780.0,1595.0,3375.0,0.3066162570888468,0.4131121642969984,0.358701950936836,,
19,inferiorparietal_volume,6667.0,9460.0,16127.0,0.06668365613319738,0.3764863604569829,0.25041482300884954,,
20,postcentral_volume,6904.0,6579.0,13483.0,0.3640861077684182,0.32748711850971063,0.34306527801491093,,
21,precuneus_volume,5633.0,5984.0,11617.0,0.19240445669102674,0.2905136089283681,0.24270200840728634,,
22,superiorparietal_volume,9190.0,7685.0,16875.0,0.2834014223029203,0.23836853382307926,0.2610134672449213,,
23,supramarginal_volume,7271.0,6256.0,13527.0,0.19871302343449865,0.28295465919327395,0.23996471107190115,,
24,entorhinal_volume,886.0,880.0,1766.0,0.13999999999999999,0.11846582121868238,0.12816590175080741,,
25,fusiform_volume,5003.0,6677.0,11680.0,0.1039019963702359,0.3692324394745414,0.23947412215010822,,
26,parahippocampal_volume,1067.0,1098.0,2165.0,0.3860347322720694,0.4083302342878393,0.3970291582615074,,
27,temporalpole_volume,829.0,1474.0,2303.0,0.07102367455818606,0.2349641632907448,0.15576675257731962,,
28,bankssts_volume,1637.0,1598.0,3235.0,0.30778588807785895,0.35362210604929056,0.33164852255054433,,
29,inferiortemporal_volume,6320.0,7045.0,13365.0,0.12498905908096286,0.3263548877258146,0.2274934467792532,,
30,middletemporal_volume,6734.0,6422.0,13156.0,0.21215271215271214,0.2897498619111496,0.25443990539668887,,
31,superiortemporal_volume,7101.0,7579.0,14680.0,0.10543982624148485,0.2832674571805007,0.19954448266245234,,
32,transversetemporal_volume,652.0,508.0,1160.0,0.18565644881434354,0.11275964391691395,0.15875912408759124,,
33,insula_volume,3923.0,4719.0,8642.0,0.05537590945836701,0.2660758061474636,0.16437420739440056,,
34,thalamus-proper,4999.5,5290.8,10290.3,0.5639530292946497,0.6169309701492537,0.590002924127492,,
35,caudate,2692.3,2711.3,5403.6,0.25498403249310153,0.2594921205193109,0.25738470011885095,,
36,putamen,3291.7,3298.1,6589.799999999999,0.33592937533220857,0.24699778784367432,0.2943638221139052,,
37,pallidum,1266.7,1250.6,2517.3,0.09116192830655134,0.05781267781950605,0.07322547079346298,,
38,hippocampus,2079.7,2768.3,4848.0,0.11372524866812417,0.2618254497001999,0.19456216170855534,,
39,amygdala,628.4,772.0,1400.4,0.02982913408630178,0.05849564727249951,0.043602551757342345,,
40,accumbens-area,124.3,199.8,324.1,0.07239087479791628,0.1981826727244243,0.13958158995815895,,
41,vessel,36.8,24.2,61.0,0.18363273453093812,0.041346318127456004,0.07763777523227695,,
42,cerebellum-white-matter,13929.6,12705.0,26634.6,0.2884623782697934,0.29478524110501725,0.2913893693746518,,
43,cerebellum-cortex,52388.2,50814.1,103202.29999999999,0.473488626492069,0.42753814265067636,0.4509353564577192,,
44,lateral-ventricle,19740.5,13481.6,33222.1,0.269705278718167,0.1845935330013327,0.228446326627066,,
45,inf-lat-vent,1247.0,550.6,1797.6,0.1820168979148903,0.05921501275477988,0.11434258234684147,,
46,total_frontal_lobe,60320.0,63994.0,126005.0,1.0,0.9999999999999999,0.9999999999999999,,
47,total_cingulate_cortex,6154.0,6199.0,12353.0,0.9427331214634525,0.7725229207183087,0.8489327793668356,,
48,total_occipital_lobe,21785.0,23979.0,45764.0,1.0000000000000002,1.0,1.0,,
49,total_parietal_lobe,35665.0,35964.0,71629.0,1.0,0.9999999999999999,1.0,,
50,total_temporal_lobe,30229.0,33281.0,63510.0,1.0000000000000002,0.9999999999999999,1.0,,
51,total_cortex_volume,147999.0,157218.0,306908.0,0.9999999999999999,1.0000000000000002,0.9999999999999999,,
52,total_subcortical_gm,15082.6,16290.900000000001,31373.5,0.9999999999999999,1.0,0.9999999999999999,,
53,cc_anterior,,,,,,,661.0,0.19961161079313172
54,cc_mid_anterior,,,,,,,494.5,0.2392741122437549
55,cc_central,,,,,,,395.3,0.12357561677176676
56,cc_mid_posterior,,,,,,,478.4,0.1801141568599816
57,cc_posterior,,,,,,,1061.8,0.2816091954022988
58,3rd-ventricle,,,,,,,2962.8,0.571305588351043
59,4th-ventricle,,,,,,,2175.5,0.34723218555714974
60,total_cc_vol,,,,,,,3091.0,0.21513126570016577
